rms,peak,crest_factor,std,kurtosis,skewness,spectral_centroid,spectral_spread,band_0_100,band_100_200,band_200_500,band_500_1000,band_1000_3000,temperature,is_anomaly,anomaly_type
0.7429998319198708,1.2806575684733383,1.7236310338916085,0.7429988796707941,1.6395683389828877,0.000256435144865791,38.58412391685772,190.82260814285166,0.9956044238896385,7.767836982154662e-05,0.000238655745154211,0.0004532035226485505,0.001861507614366025,63.30950715495039,0,
0.7450866654578454,1.2581890959673445,1.688647984586068,0.7450866560219519,1.641648059201153,-0.0029237311472497113,38.58739106305459,191.60170425083646,0.9955552661963347,0.00010034504827488321,0.0003129011755652161,0.0004459590359327694,0.0017940811471680422,66.43898942087675,0,
0.7427573776929436,1.2872954652820532,1.7331304998685884,0.742757330143419,1.642231879430313,-0.0009457453631138031,39.052490358789996,196.1306035055017,0.995500418045098,9.20628826658398e-05,0.0002476548554214194,0.00044197566157976097,0.001832802412766359,64.5480792523493,0,
0.744206385751743,1.2698089951354272,1.7062592036922106,0.7442061367059866,1.6421358585534147,-0.0013269265632903037,38.9555231086992,195.5905507576272,0.9955518389170838,6.586696192593532e-05,0.00024499442330102564,0.0004644722316295042,0.0017880261160950787,64.83474571219719,0,
0.743174881321256,1.2716592864369838,1.7111171520977135,0.7431747891668302,1.6410015947462355,-0.001790876936684868,38.6019951283666,191.97903141661195,0.9956275329302107,9.280031658334352e-05,0.00026573218386247486,0.00043070417998688365,0.0017550813515308536,65.84797363762348,0,
0.7433957911348322,1.2914127393250763,1.7371805903738946,0.7433957651566327,1.6448925144896818,0.0009341937215555008,39.23835149768312,197.37793286121783,0.9953591050844363,0.00010411027200890481,0.0002833081137885862,0.0004777150110428034,0.001860834233660657,62.77919931814995,0,
0.7432601404930506,1.3355159958070897,1.7968352169687978,0.7432594434939078,1.6396124170729645,-0.00019762285501058027,38.676462479791155,192.2645982132981,0.9955344020264986,9.929874299626431e-05,0.000278800098113172,0.0004430425913891857,0.0018580470095546447,63.14618336007394,0,
0.7429594120618719,1.2957626567990617,1.7440557798481104,0.7429594026896599,1.6417627961894437,-0.0011734069544435013,38.6795592977068,192.4514095784842,0.99553515243527,9.024949533114604e-05,0.00031019248009200607,0.0004595016972013828,0.001805042094051619,64.54853205178208,0,
0.7430819785831507,1.2865624114018572,1.7313869108425581,0.7430819646694419,1.6426113432339944,0.0024889896610159777,38.71356053150197,192.8181862002807,0.9955978860507766,9.050410958100166e-05,0.0002632171122225797,0.00043021562901359995,0.00179462352833181,66.71345000165064,0,
0.7433545839059074,1.2765221998996188,1.717245346349003,0.7433545142001355,1.6443739781648514,0.0017580193554189844,38.36983438559625,188.66028167923332,0.9956219660653064,9.981916313931402e-05,0.0002721886445613048,0.0004549802746255308,0.0018246477819028556,67.8697714023423,0,
